A11 59 A34 A48 6044 A61 A74 5 A94 A102 2 A124 47 A143 A152 1 A174 3 A192 A201 2
A14 54 A30 A47 15630 A61 A75 3 A94 A101 2 A121 44 A143 A153 3 A173 1 A192 A202 2
A13 42 A31 A410 893 A64 A74 5 A92 A103 3 A123 23 A141 A151 3 A171 3 A191 A202 1
A12 65 A32 A410 8397 A64 A73 3 A92 A102 4 A123 25 A141 A153 4 A174 3 A191 A202 1
A12 12 A33 A47 14868 A64 A73 2 A95 A103 2 A123 52 A141 A152 3 A174 3 A191 A202 1
A14 67 A30 A44 17642 A65 A72 1 A95 A102 4 A121 51 A142 A152 1 A172 1 A191 A202 1
A11 62 A32 A46 4838 A63 A72 4 A93 A103 4 A122 50 A142 A151 2 A172 3 A191 A201 1
A13 38 A30 A44 12127 A65 A74 4 A92 A102 1 A123 27 A143 A152 3 A171 2 A191 A201 2
A11 54 A33 A46 3711 A64 A71 5 A92 A101 5 A122 48 A143 A151 5 A174 2 A192 A202 1
A11 39 A33 A48 2365 A62 A71 4 A93 A101 1 A124 22 A143 A153 3 A174 3 A191 A202 1
A13 22 A32 A44 6693 A65 A72 1 A93 A102 4 A123 27 A141 A153 4 A171 2 A192 A202 2
A14 59 A31 A45 16403 A61 A74 3 A91 A102 3 A122 47 A141 A152 4 A173 1 A192 A202 1
A13 20 A30 A40 12833 A63 A74 4 A91 A103 4 A121 54 A143 A153 2 A172 1 A192 A201 1
A14 25 A34 A48 9179 A65 A73 3 A93 A102 4 A121 56 A143 A153 5 A173 2 A191 A202 1
A13 39 A33 A45 5411 A64 A73 3 A94 A103 4 A122 74 A141 A151 4 A171 2 A192 A202 2
A14 61 A31 A45 2835 A65 A71 5 A91 A101 4 A122 67 A141 A151 5 A174 1 A192 A201 1
A13 30 A32 A45 5191 A61 A72 4 A93 A102 5 A124 40 A143 A151 4 A172 1 A192 A201 1
A11 38 A33 A42 3036 A63 A71 4 A91 A103 4 A124 63 A142 A151 4 A174 3 A192 A202 2
A14 6 A33 A46 3664 A64 A74 3 A92 A101 5 A121 24 A143 A152 1 A171 2 A192 A201 1
A12 11 A32 A48 12798 A64 A74 2 A94 A101 3 A123 67 A142 A152 3 A173 3 A191 A201 2
A13 7 A31 A43 2671 A65 A72 3 A92 A103 2 A122 41 A143 A152 1 A172 1 A192 A201 1
A12 8 A33 A41 1114 A63 A72 5 A92 A102 2 A121 62 A143 A151 4 A174 1 A191 A202 1
A11 63 A33 A44 10148 A64 A72 4 A95 A103 4 A123 74 A141 A153 4 A173 1 A192 A201 1
A14 62 A32 A42 5480 A63 A75 4 A91 A102 3 A123 59 A141 A153 3 A173 2 A192 A201 2
A14 60 A30 A44 8549 A65 A73 1 A91 A103 1 A121 71 A143 A152 2 A171 3 A191 A201 1
A13 7 A32 A46 2801 A61 A74 5 A95 A103 2 A122 19 A141 A151 1 A173 2 A192 A201 1
A12 9 A33 A41 4082 A62 A73 2 A93 A103 5 A123 28 A141 A152 4 A171 1 A191 A201 2
