35,Private,829847,5th-6th,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,25,Thailand,>50K
20,Private,580857,Bachelors,9,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,38,United-States,>50K
65,Private,573540,Some-college,6,Married-civ-spouse,Craft-repair,Own-child,White,Male,81725,0,60,South,<=50K
23,Private,326130,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Male,97992,0,41,South,<=50K
55,Self-emp-not-inc,1228449,12th,15,Married-civ-spouse,Other-service,Husband,White,Male,0,0,37,United-States,<=50K
52,Local-gov,902927,Some-college,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,27,United-States,<=50K
32,Private,1197749,Masters,12,Married-civ-spouse,Other-service,Own-child,Black,Female,0,0,36,United-States,<=50K
29,Private,79059,Bachelors,7,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,30,United-States,>50K
20,Private,92661,Some-college,5,Divorced,Craft-repair,Own-child,White,Female,0,0,27,United-States,<=50K
49,Local-gov,1408916,HS-grad,4,Separated,Priv-house-serv,Own-child,White,Male,0,0,39,United-States,<=50K
17,Self-emp-not-inc,335178,HS-grad,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,United-States,>50K
61,Private,994807,Some-college,9,Married-civ-spouse,Sales,Husband,White,Female,0,0,32,United-States,<=50K
61,Federal-gov,802697,HS-grad,12,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,46,United-States,<=50K
40,Private,704398,Bachelors,13,Divorced,Adm-clerical,Husband,White,Male,0,0,13,United-States,<=50K
41,Private,842615,Bachelors,12,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,2468,59,United-States,<=50K
57,Private,113929,Assoc-voc,13,Divorced,Machine-op-inspct,Husband,White,Male,0,0,56,United-States,<=50K
47,Federal-gov,177552,11th,7,Divorced,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
49,Private,205710,Some-college,14,Divorced,Craft-repair,Wife,White,Male,0,0,29,United-States,<=50K
48,Private,247858,Some-college,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,54,United-States,<=50K
57,Private,36916,Some-college,7,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,52,United-States,<=50K
27,Private,1191597,HS-grad,11,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,49,United-States,<=50K
55,Private,924094,9th,8,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,51,United-States,<=50K
58,Private,909235,Some-college,12,Divorced,Sales,Other-relative,Black,Female,0,0,46,United-States,>50K
17,Private,799703,Some-college,11,Never-married,Machine-op-inspct,Husband,Black,Male,0,0,61,United-States,>50K
17,Private,179658,HS-grad,13,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,45,United-States,<=50K
35,Private,25142,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,36,United-States,>50K
64,Never-worked,1203755,HS-grad,10,Married-civ-spouse,Sales,Own-child,White,Female,0,0,27,United-States,>50K
65,State-gov,379785,Some-college,11,Married-civ-spouse,Priv-house-serv,Unmarried,Black,Male,24264,0,7,United-States,<=50K
20,Private,543014,Some-college,6,Never-married,Craft-repair,Own-child,White,Male,44085,0,28,United-States,>50K
23,Private,1011196,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,66741,0,59,United-States,>50K
36,Private,419045,HS-grad,4,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,36,United-States,>50K
67,Private,322145,HS-grad,8,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,64771,0,43,United-States,>50K
43,Private,290709,HS-grad,7,Married-civ-spouse,Sales,Husband,White,Female,0,0,41,United-States,<=50K
37,Private,390578,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,<=50K
41,Private,814427,9th,8,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,49,United-States,<=50K
17,Private,1087376,7th-8th,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,1059280,Some-college,9,Never-married,Prof-specialty,Unmarried,White,Male,99569,0,46,United-States,<=50K
36,Local-gov,1136834,Bachelors,6,Never-married,Transport-moving,Husband,White,Female,0,0,43,United-States,<=50K
34,Local-gov,333511,11th,10,Never-married,Craft-repair,Wife,White,Female,0,0,45,United-States,<=50K
45,Private,293344,HS-grad,12,Married-civ-spouse,Sales,Own-child,White,Male,0,0,42,United-States,<=50K
55,Private,103774,HS-grad,5,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,27,Haiti,>50K
61,Private,981639,Bachelors,12,Never-married,Prof-specialty,Husband,Black,Female,0,0,48,United-States,<=50K
17,Private,1486858,Some-college,5,Never-married,Exec-managerial,Wife,White,Female,80312,0,48,United-States,<=50K
44,Private,300800,Bachelors,8,Married-civ-spouse,Tech-support,Not-in-family,White,Male,0,0,50,Germany,>50K
39,Private,872260,HS-grad,7,Never-married,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
23,Local-gov,826580,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,7268,0,40,United-States,<=50K
29,Private,301522,HS-grad,12,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,23,El-Salvador,>50K
45,Private,1098540,HS-grad,5,Married-civ-spouse,Sales,Own-child,White,Female,0,0,46,United-States,<=50K
44,Private,1347612,HS-grad,11,Never-married,Prof-specialty,Wife,White,Female,0,0,68,United-States,>50K
32,Self-emp-inc,531522,Some-college,8,Married-civ-spouse,Protective-serv,Husband,White,Female,0,0,32,United-States,<=50K
40,Self-emp-not-inc,546798,Bachelors,11,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,34,United-States,>50K
39,Private,128646,Doctorate,12,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,0,0,40,United-States,>50K
17,Federal-gov,628332,Bachelors,10,Divorced,Prof-specialty,Own-child,White,Female,0,0,29,United-States,>50K
42,Private,374666,Masters,11,Widowed,Exec-managerial,Wife,White,Female,16223,0,47,United-States,<=50K
53,Private,704648,Masters,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0,0,42,United-States,<=50K
46,Private,1015243,HS-grad,11,Never-married,Craft-repair,Unmarried,White,Male,0,0,51,United-States,<=50K
59,Private,1307555,Some-college,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Japan,<=50K
27,Self-emp-not-inc,1135630,HS-grad,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,52,France,<=50K
28,Private,1067538,11th,13,Never-married,Sales,Not-in-family,White,Female,0,0,53,United-States,<=50K
28,Private,726174,Assoc-voc,8,Never-married,Exec-managerial,Husband,White,Male,0,0,37,United-States,<=50K
17,Private,988735,HS-grad,13,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,39,United-States,>50K
40,Private,375938,Assoc-voc,11,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,34,United-States,<=50K
48,Private,1174683,Doctorate,9,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,0,0,45,United-States,<=50K
36,Private,1205211,Bachelors,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,46,Taiwan,<=50K
51,Private,771753,HS-grad,12,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,35,Taiwan,<=50K
50,Private,881455,Masters,13,Divorced,Craft-repair,Not-in-family,White,Male,55101,0,53,United-States,<=50K
22,Private,794592,HS-grad,10,Never-married,Craft-repair,Husband,White,Male,0,0,52,United-States,<=50K
23,Local-gov,956801,HS-grad,11,Separated,Handlers-cleaners,Unmarried,White,Male,0,0,33,United-States,<=50K
24,Private,1447037,Assoc-voc,9,Never-married,Protective-serv,Unmarried,White,Male,0,0,44,United-States,<=50K
30,Private,308142,Some-college,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,51,United-States,<=50K
17,Private,1462868,12th,9,Never-married,Sales,Husband,White,Male,0,0,50,United-States,>50K
35,Local-gov,254711,HS-grad,7,Never-married,Other-service,Not-in-family,White,Female,0,0,23,United-States,<=50K
28,Private,217557,HS-grad,16,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,48,United-States,<=50K
25,State-gov,617953,10th,8,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,40,United-States,>50K
17,Private,1343448,Assoc-acdm,13,Never-married,Handlers-cleaners,Husband,White,Male,0,4172,30,United-States,>50K
17,Private,1473379,HS-grad,7,Divorced,Sales,Husband,Black,Male,19490,0,38,United-States,>50K
22,Private,1049715,1st-4th,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,41,United-States,<=50K
40,Never-worked,882888,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,37,United-States,<=50K
31,State-gov,937894,Bachelors,10,Never-married,Craft-repair,Husband,White,Male,0,0,43,United-States,>50K
