A11 49 A34 A49 7548 A64 A72 1 A91 A102 3 A124 70 A142 A152 3 A172 1 A192 A202 1
A14 66 A33 A40 13812 A64 A75 2 A91 A103 2 A122 20 A143 A151 3 A171 1 A191 A201 1
A13 8 A32 A44 1880 A65 A71 2 A94 A102 1 A124 66 A141 A153 1 A173 1 A192 A201 1
A12 26 A34 A45 16703 A65 A73 3 A94 A102 3 A123 62 A142 A152 1 A173 1 A192 A201 1
A12 21 A30 A48 9658 A64 A75 2 A94 A102 3 A122 63 A143 A153 1 A172 1 A192 A202 1
A14 43 A34 A41 11175 A62 A75 1 A95 A101 1 A121 28 A143 A152 2 A174 1 A191 A202 1
A11 40 A34 A44 3706 A63 A72 2 A93 A101 2 A123 68 A142 A153 2 A173 1 A191 A202 1
A13 63 A32 A41 9896 A63 A74 2 A95 A103 1 A123 52 A141 A152 1 A171 1 A192 A201 1
A11 66 A33 A48 307 A64 A71 3 A94 A101 3 A124 41 A141 A151 2 A174 1 A191 A202 2
A11 56 A32 A46 16495 A65 A71 2 A92 A101 3 A123 57 A142 A151 1 A171 1 A192 A201 1
A13 17 A31 A45 13916 A62 A72 2 A95 A102 1 A121 38 A142 A152 3 A173 1 A192 A201 1
A14 6 A33 A44 8543 A63 A75 3 A91 A103 3 A123 34 A141 A152 3 A172 1 A191 A201 1
A13 65 A31 A41 15504 A61 A74 2 A93 A102 2 A123 35 A141 A153 3 A173 1 A191 A202 1
A14 68 A31 A410 15061 A64 A73 3 A95 A102 2 A122 50 A142 A152 1 A174 1 A191 A202 2
A13 21 A32 A47 2423 A63 A72 3 A94 A102 1 A122 52 A143 A153 3 A173 1 A191 A202 1
A14 7 A34 A43 1232 A63 A71 3 A95 A101 3 A124 32 A141 A151 2 A173 1 A191 A202 2
A13 50 A31 A44 4877 A63 A72 3 A91 A101 2 A123 32 A142 A152 3 A174 1 A192 A201 2
A11 44 A32 A47 273 A62 A71 2 A93 A101 3 A123 71 A141 A153 3 A173 1 A192 A202 1
A14 64 A30 A47 10709 A63 A71 1 A94 A103 1 A122 47 A141 A151 2 A174 1 A191 A201 1
A12 43 A30 A45 9891 A64 A74 2 A94 A103 2 A122 67 A142 A151 1 A172 1 A192 A202 1
A13 55 A30 A43 10068 A62 A71 1 A95 A101 1 A123 37 A141 A153 3 A171 1 A191 A201 2
A12 57 A30 A47 1593 A61 A71 2 A93 A101 3 A124 35 A141 A152 2 A171 1 A191 A202 1
A11 4 A34 A47 17007 A62 A73 3 A94 A101 2 A123 34 A143 A153 3 A173 1 A192 A202 1
